Search performed Sat Nov 07 2020 18:54:37 GMT+0100 (hora estándar de Europa central) by Aritz Durana searchfields: sequence_type - wgs, material - compost all matches. (139 total)
PI_firstname	PI_lastname	PI_organization	PI_organization_country	aa_pid	alpha_diversity_shannon	assembled	average_gc_ratio_raw	average_length_raw	biome	biome_id	bowtie	bp_count_raw	collection_date	country	created_on	dereplicate	drisee_score_raw	env_package	env_package_id	env_package_name	env_package_type	feature	feature_id	fgs_type	file_type	filter_ambig	filter_ln	filter_ln_mult	investigation_type	job_id	latitude	library_id	library_name	location	longitude	m5nr_annotation_version	m5nr_sims_version	m5rna_annotation_version	m5rna_sims_version	material	material_id	max_ambig	metagenome_id	mixs_compliant	name	pipeline_version	prefix_length	priority	project_funding	project_id	project_name	public	rna_pid	sample_id	sample_name	screen_indexes	seq_meth	sequence_count_raw	sequence_type
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		572.992457373069	false	0.687	336.523	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	139577371	2011-07-27	Brazil	2013-08-08T20:36:12	true	0	built environment	mge125941	ZooCompost3Day30: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	98313	-23.651079	mgl125942	ZC3DAY30IQMSIPER01R3	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		1b50923f6c6d676d343533303638302e33	false	ZC3DAY30IQMSIPER01R3-TEST			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY30IQMSIPER01R3	ZooCompost3Day30	none	illumina	414763	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		507.605416916286	false	0.697	185.756	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	251297625	2011-10-04	Brazil	2013-10-11T20:58:28	true	0	built environment	mge137480	ZooCompost4Day07-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	106365	-23.651079	mgl137481	ZC4DAY07IQMSIPER01R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		08973229b06d676d343533383733322e33	false	ZC4DAY07IQMSIPER01R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY07IQMSIPER01R2	ZooCompost4Day07-R2	none	illumina	1352837	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		543.389688578088	false	0.62	189.707	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	507087983	2011-10-04	Brazil	2013-11-21T21:13:05	true	0	built environment	mge146123	ZooCompost4Day30-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	111766	-23.651079	mgl146124	ZC4DAY30IQMSIPER02R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		82a2c5ee7e6d676d343534343133332e33	false	ZC4DAY30IQMSIPER02R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY30IQMSIPER02R2	ZooCompost4Day30-R2	none	illumina	2673003	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		566.816010641093	false	0.651	177.925	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	1284501925	2011-10-04	Brazil	2014-03-22T03:02:20	true	0	built environment	mge167578	ZC4-DAY-15-PAIR-2: built environment	built environment	zoological garden	ENVO:00010625		fastq	false	false		metagenome	124033	-23.651079	mgl167579	ZC4DAY15IQMSIPER00R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		5f2d23b3d26d676d343535363430302e33	false	ZC4DAY15IQMSIPER00R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY15IQMSIPER00R2	ZC4-DAY-15-PAIR-2	none	illumina	7219360	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		483.857625244919	false	0.63	229.285	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	1070806440	2011-10-04	Brazil	2014-03-22T03:02:19	true	0	built environment	mge167572	ZC4-DAY-03-PAIR-2: built environment	built environment	zoological garden	ENVO:00010625		fastq	false	false		metagenome	124031	-23.651079	mgl167573	ZC4DAY03IQMSIPER00R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		12a52be76e6d676d343535363339382e33	false	ZC4DAY03IQMSIPER00R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY03IQMSIPER00R2	ZC4-DAY-03-PAIR-2	none	illumina	4670201	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		635.508675171889	false	0.663	224.222	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	486492082	2011-10-04	Brazil	2013-08-30T20:02:19	true	5.897	built environment	mge129896	ZooCompost3Day78-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	101630	-23.651079	mgl129897	ZC3DAY78IQMSIPER01R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		52ff540fb56d676d343533333939372e33	false	ZC3DAY78IQMSIPER01R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY78IQMSIPER01R2	ZooCompost3Day78-R2	none	illumina	2169689	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		509.826537431809	false	1.091	170.784	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	387725395	2011-10-04	Brazil	2013-08-30T20:02:19	true	0	built environment	mge129878	ZooCompost3Day01-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	101633	-23.651079	mgl129879	ZC3DAY01IQMSIPER01R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		e8c3c465086d676d343533343030302e33	false	ZC3DAY01IQMSIPER01R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY01IQMSIPER01R2	ZooCompost3Day01-R2	none	illumina	2270265	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		591.022122825609	false	0.658	352.186	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	137591029	2011-08-30	Brazil	2013-08-08T20:36:12	true	0	built environment	mge125944	ZooCompost3Day64: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	98314	-23.651079	mgl125945	ZC3DAY64IQMSIPER01R3	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		8e284e337b6d676d343533303638312e33	false	ZC3DAY64IQMSIPER01R3-TEST			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY64IQMSIPER01R3	ZooCompost3Day64	none	illumina	390677	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		666.045213657707	false	0.717	347.346	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	285440561	2011-09-13	Brazil	2013-08-08T20:36:12	true	0	built environment	mge125947	ZooCompost3Day78: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	98315	-23.651079	mgl125948	ZC3DAY78IQMSIPER01R3	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		ba16cd35ad6d676d343533303638322e33	false	ZC3DAY78IQMSIPER01R3-TEST			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY78IQMSIPER01R3	ZooCompost3Day78	none	illumina	821775	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		485.382163277054	false	0.652	190.38	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	51311309	2011-10-04	Brazil	2013-10-11T20:58:31	true	0	built environment	mge137462	ZooCompost4Day03-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	106373	-23.651079	mgl137463	ZC4DAY03IQMSIPER01R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		4f730dd6c86d676d343533383734302e33	false	ZC4DAY03IQMSIPER01R2			date	FAPESP, CNPq, CAPES	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY03IQMSIPER01R2	ZooCompost4Day03-R2	none	illumina	269520	WGS
