Search performed Sat Nov 07 2020 19:40:06 GMT+0100 (hora estándar de Europa central) by Aritz Durana searching all fields for "compost" searchfields: sequence_type - wgs all matches. (147 total)
PI_firstname	PI_lastname	PI_organization	PI_organization_country	aa_pid	alpha_diversity_shannon	assembled	average_gc_ratio_raw	average_length_raw	biome	biome_id	bowtie	bp_count_raw	collection_date	country	created_on	depth	dereplicate	drisee_score_raw	elevation	env_package	env_package_id	env_package_name	env_package_type	feature	feature_id	fgs_type	file_type	filter_ambig	filter_ln	filter_ln_mult	investigation_type	job_id	latitude	library_id	library_name	location	longitude	m5nr_annotation_version	m5nr_sims_version	m5rna_annotation_version	m5rna_sims_version	material	material_id	max_ambig	metagenome_id	mixs_compliant	name	pipeline_version	prefix_length	priority	project_id	project_name	public	rna_pid	sample_id	sample_name	screen_indexes	seq_meth	sequence_count_raw	sequence_type
Senta	Blanquet	IFP Energies nouvelles	France		293.710314751929	false	0.517	633.787	terrestrial biome	ENVO:00000446	true	359423342	2013-03-12	France	2014-04-07T15:55:27		false	0.202		plant-associated	mge471621	LCBLbis_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	126877	48.807	mgl471622	LCBLbis_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	588a7e028c6d676d343535393234342e33	true	LCBLbis_AllReads_clip			never	mgp6843	Biomines	true		mgs471620	LCBLbis_AllReads_clip	h_sapiens_asm	454	567104	WGS
Senta	Blanquet	IFP Energies nouvelles	France		369.032718677232	false	0.879	729.359	terrestrial biome	ENVO:00000446	true	471147560	2013-03-12	France	2014-04-07T15:55:27		false	0.167		plant-associated	mge471618	CI_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	126876	48.807	mgl471619	CI_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	a14f0cf95f6d676d343535393234332e33	true	CI_AllReads_clip			never	mgp6843	Biomines	true		mgs471617	CI_AllReads_clip	h_sapiens_asm	454	645975	WGS
Senta	Blanquet	IFP Energies nouvelles	France		264.428886445385	false	0.889	697.537	terrestrial biome	ENVO:00000446	true	446242310	2013-03-12	France	2013-11-21T15:41:28		false	0.478		plant-associated	mge471624	LCBS_1_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111750	48.807	mgl471625	LCBS_1_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	974f395d246d676d343534343131372e33	true	LCBS_1_AllReads_clip			never	mgp6843	Biomines	true		mgs471623	LCBS_1_AllReads_clip	e_coli	454	639740	WGS
Senta	Blanquet	IFP Energies nouvelles	France		313.075871766613	false	0.559	687.172	terrestrial biome	ENVO:00000446	true	385644863	2013-03-12	France	2013-11-21T15:41:28		false	0.614		plant-associated	mge471633	LCBL_2_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111749	48.807	mgl471634	LCBL_2_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	274d06d6296d676d343534343131362e33	true	LCBL_2_AllReads_clip			never	mgp6843	Biomines	true		mgs471632	LCBL_2_AllReads_clip	e_coli	454	561206	WGS
Senta	Blanquet	IFP Energies nouvelles	France		319.177581009732	false	0.558	625.304	terrestrial biome	ENVO:00000446	true	370354048	2013-03-12	France	2013-11-21T15:41:28		false	0.282		plant-associated	mge471630	LCBL_1_AllReads_clip: plant-associated	plant-associated	waste treatment plant	ENVO:00002272		fna	true	true		metagenome	111748	48.807	mgl471631	LCBL_1_AllReads_clip	Versailles	2.137	1	7	1	7	compost	ENVO:00002170	5	dd2765dec16d676d343534343131352e33	true	LCBL_1_AllReads_clip			never	mgp6843	Biomines	true		mgs471629	LCBL_1_AllReads_clip	e_coli	454	592278	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		572.992457373069	false	0.687	336.523	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	139577371	2011-07-27	Brazil	2013-08-08T20:36:12		true	0		built environment	mge125941	ZooCompost3Day30: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	98313	-23.651079	mgl125942	ZC3DAY30IQMSIPER01R3	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		7d121d643f6d676d343533303638302e33	false	ZC3DAY30IQMSIPER01R3-TEST			date	mgp5435	Sao Paulo Zoo Composting Study	true		ZC3DAY30IQMSIPER01R3	ZooCompost3Day30	none	illumina	414763	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		507.605416916286	false	0.697	185.756	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	251297625	2011-10-04	Brazil	2013-10-11T20:58:28		true	0		built environment	mge137480	ZooCompost4Day07-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	106365	-23.651079	mgl137481	ZC4DAY07IQMSIPER01R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		02a4e23a4a6d676d343533383733322e33	false	ZC4DAY07IQMSIPER01R2			date	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY07IQMSIPER01R2	ZooCompost4Day07-R2	none	illumina	1352837	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		543.389688578088	false	0.62	189.707	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	507087983	2011-10-04	Brazil	2013-11-21T21:13:05		true	0		built environment	mge146123	ZooCompost4Day30-R2: built environment	built environment	Zoological garden	ENVO:00010625		fastq	false	false		metagenome	111766	-23.651079	mgl146124	ZC4DAY30IQMSIPER02R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		6a1649b6db6d676d343534343133332e33	false	ZC4DAY30IQMSIPER02R2			date	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY30IQMSIPER02R2	ZooCompost4Day30-R2	none	illumina	2673003	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		566.816010641093	false	0.651	177.925	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	1284501925	2011-10-04	Brazil	2014-03-22T03:02:20		true	0		built environment	mge167578	ZC4-DAY-15-PAIR-2: built environment	built environment	zoological garden	ENVO:00010625		fastq	false	false		metagenome	124033	-23.651079	mgl167579	ZC4DAY15IQMSIPER00R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		7d8894c1dd6d676d343535363430302e33	false	ZC4DAY15IQMSIPER00R2			date	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY15IQMSIPER00R2	ZC4-DAY-15-PAIR-2	none	illumina	7219360	WGS
João	Setubal	Instituto de Quimica, Universidade de Sao Paulo	Brazil		483.857625244919	false	0.63	229.285	Subtropical and temperate rainforests or woodlands	ENVO:00002991	false	1070806440	2011-10-04	Brazil	2014-03-22T03:02:19		true	0		built environment	mge167572	ZC4-DAY-03-PAIR-2: built environment	built environment	zoological garden	ENVO:00010625		fastq	false	false		metagenome	124031	-23.651079	mgl167573	ZC4DAY03IQMSIPER00R2	Sao Paulo Zoo Park	-46.620668	1	7	1	7	compost	ENVO:00002170		7cea174aed6d676d343535363339382e33	false	ZC4DAY03IQMSIPER00R2			date	mgp5435	Sao Paulo Zoo Composting Study	true		ZC4DAY03IQMSIPER00R2	ZC4-DAY-03-PAIR-2	none	illumina	4670201	WGS
